gene_id,eyestalk1,eyestalk2,eyestalk6,ganglion1,ganglion5,ganglion6,gill1,gill2,gill5,hepatopancreas2,hepatopancreas4,hepatopancreas5,heart1,heart2,heart5,intestine1,intestine3,intestine4,muscle1,muscle2,muscle5,ovary1,ovary2,ovary5,stomach1,stomach2,stomach5,testis3,testis4,testis6
LOC126996190,2.4,0.83,1.34,5,0.52,29.48,1.23,0.7,0.16,8.73,9.31,6,1.51,0.93,0.37,0.14,3.08,2.17,0.59,0.72,0.7,0.77,0,0.38,4.47,2.3,1.26,0.41,0.31,0.12
LOC126996191,0.43,1.19,0.69,1.7,6.18,0.95,2.15,2.6,3.73,0.35,0.25,0.31,1.02,2.82,3.51,0.9,0.27,1.52,0.09,1.14,1.02,0.68,2.49,1.75,1.19,2.53,1.99,0.51,0.81,0.2
LOC126996192,0.1,0.13,0.34,0.59,0,0.24,0.16,0.13,0.25,0.99,1.11,0.14,0,0.23,0.69,0.22,1.3,0.17,0,0.47,0,0,0.33,0.08,0.43,0.55,0.11,0.2,0.05,0
LOC126996193,1.97,5.5,5.3,10.44,14.6,10.06,4.42,1.42,2.74,2.58,2.22,2.22,4.97,7.03,5.54,4.75,3.87,3.88,2.77,5.1,2.64,1.75,6.35,2.8,20.06,14.66,13.14,0.94,3.24,0.34
LOC126996194,0.34,0,0,0,1.18,0.88,0,0,0,7.36,4.23,7.69,0,0,0.42,0,0.4,0,0,0.47,0,0.62,0,0,0.87,0,0.9,0,0.17,0
LOC126996195,3.28,4.85,3.82,26.01,19.12,18.57,14.31,9.62,24.71,4.01,4.87,2.67,32.18,17.84,20.64,18.66,1.65,33.1,2.3,11.66,4.51,1.48,1.89,1.06,4.91,8.61,10.51,3.83,4.52,0.39
LOC126996196,0,0,0,0,0,0,0,0,0,5.15,7.49,4.07,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0,0.42,0,0,0
LOC126996197,0,0.02,0,0.32,0.03,0.04,0.06,0.05,0.07,0.05,0.08,0.05,0.12,0.03,0,0.04,0,0.1,0,0.08,0.04,0,0,0,0.02,0.15,0.06,0.01,0.09,0.02
LOC126996198,0.13,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0.06,0.16,0.24,0.09,0,0,0
LOC126996199,0,0.05,0,0,0,4.28,0,0,0,0,0,0,0.03,0,0,11.7,0.71,3.83,0,0,0,3.71,5,4.45,0.08,0,0,0,0,0.02
